id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,official_name,address,surface_total_m2,surface_built_m2
40-02,CHECHAR,40,4011,Chechar,35.0456875,7.0150625,exact,exact,sogral,"{""sogral"":""213-000040011""}",Gare routière Youssfi Abdelmadjid Ben El Hadj Mohamed,Cité Le Grand Maghreb Chechar Khenchla,6320,400
41-01,SOUK AHRAS,41,4101,Souk Ahras,36.2804375,7.9396875,exact,exact,sogral,"{""sogral"":""213-000041001""}",Gare routière Araibia Mbarek Ben El Boussiri .,Cité Skanska Souk Ahras 41000.,32000,1910
41-02,MDAOUROUCHE,41,4115,M'daourouche,36.0756762,7.8204791,exact,exact,sogral,"{""sogral"":""213-000041015""}",Gare routière El Moudjahid  Houasnia Abdallah,Cité Lahousnia M'daourouche Souk Ahras,11000,432
42-01,TIPAZA,42,4201,Tipaza,36.585187,2.470688,exact,exact,sogral,"{""sogral"":""213-000042001""}",Gare routière Ibrahim El sahli,N°391 Classe 11 Commune de Tipaza,27000,2959
45-01,MECHREA,45,4502,Mecheria,33.541813,-0.256062,exact,exact,sogral,"{""sogral"":""213-000045002""}",Gare routière Echahid Chouaki Tayeb,Cité El wiam Mecheria,15000,4770
46-01,AIN TEMOUCHENT 01,46,4601,Ain Temouchent,35.313063,-1.149688,exact,exact,sogral,"{""sogral"":""213-000046001""}",Gare routière Aïn Témouchent 1,Rue Mohamed khemisti Aïn Témouchent,20000,9700
46-02,AIN TEMOUCHENT 02,46,4604,Hammam Bou Hadjar,35.3704853,-0.987355,exact,exact,sogral,"{""sogral"":""213-000046001""}",Gare routière Mohamed Ykrelef Beloufa,Hai zitoune route d’Oran Aïn Témouchent,9084,1383
47-01,GHERDAIA,47,4707,Dhayet Bendhahoua,32.54206581060249,3.674148480779247,exact,exact,sogral,"{""sogral"":""213-000047001""}",Gare routière de transport des voyageurs Ghardaïa,Bouheraoua commune de ghardaia,40000,3200
49-01,AOUGROUT,49,0123,Aougrout,28.733,0.332,exact,exact,sogral,"{""sogral"":""213-000001023""}",Gare routière Mazouzi Ben Amar Aougrout,Rue El Charef Aougrout Timimoun,20000,400
49-02,TIMIMOUNE,49,0109,Timimoun,29.246438,0.224687,exact,exact,sogral,"{""sogral"":""213-000001009""}",Gare routière El Moudjahid Zaoui Ben Mbarak,Route nationale N°51 Timimoun,15000,2500
51-01,OULED DJELLAL,51,0705,Ouled Djellal,34.424187,5.062562,exact,exact,sogral,"{""sogral"":""213-000007005""}",Gare routière Chala El Hafnaoui,Route nationale n°46 Ouled Djellal,19992,713
53-01,IN SALEH,53,1108,Ain Salah,27.199438,2.478187,exact,exact,sogral,"{""sogral"":""213-000011008""}",Gare routière Ain Salah,Zone Industrielle Ain Salah,30000,1420
55-01,TOUGGOURT,55,3013,Touggourt,33.1064,6.0721,exact,exact,sogral,"{""sogral"":""213-000030013""}",Gare routière Didouche Mourad TOUGGOURT,Rue les dunes 01 commune Touggourt,60000,2500
56-01,DJANET,56,3302,Djanet,24.5532,9.4841,exact,exact,sogral,"{""sogral"":""213-000033002""}",Djanet,Djanet,0,0
57-01,DJAMAA,57,3930,Sidi Amrane,33.551063,5.979688,exact,exact,sogral,"{""sogral"":""213-000039028""}",Gare routière El Moudjahid Lakhdar Ben Amar Djamaa,cité 19 Mars 1962 Djamaa,19760,736
59-01,AFLOU,59,0319,Aflou,34.097,2.083,exact,exact,sogral,"{""sogral"":""213-000003019""}",Gare routière Hakimi Mohamed Ben Chikh,Route El Bayadh Aflou,46000,6270
62-01,BIR EL ATER,62,1202,Bir-El-Ater,34.770438,8.059188,exact,exact,sogral,"{""sogral"":""213-000012002""}",Gare routière El Moudjahid Berai Salah Ben Ibrahim,Route nationale n°16 Bir El Ater,10000,1106
65-01,AIN OUSSARA,65,1731,Aïn Oussera,35.463,2.9,approximate,exact,sogral,"{""sogral"":""213-000017031""}",Gare routière Ain Oussara,Cité Ahmed Zabana route nationale n°01 Ain Oussara,35000,1000
66-01,MESSAAD,66,1717,Messaad,34.153051451328494,3.472476976422937,exact,exact,sogral,"{""sogral"":""213-000017017""}",Gare routière Messaad,Route Ain El Ibel Messaad,20000,1000
69-01,AIN SEFRA,69,3207,Labiodh Sidi Cheikh,32.763063,0.596938,exact,exact,sogral,"{""sogral"":""213-000045003""}",Gare routière Echahid Ben Amara Boutkhil,Route nationale n°06 Aïn Sefra,23000,2000
69-02,NAAMA,69,3219,El Mehara,33.2814375,0.3076875,exact,exact,sogral,"{""sogral"":""213-000045001""}",Gare routière Naâma,Route nationale n°06 Naâma,40000,1500
