id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,operator,phone,opening_hours,dispensing,address
02-00027,GUERTI S,GUERTI S,,02,0204,El Karimia,36.110268,1.56048,exact,osm_node,osm,"{""osm"":""node/10951522505""}",,,,,
02-00028,BEKARA F,BEKARA F,,02,0211,Sidi Akkacha,36.464465,1.305122,exact,osm_node,osm,"{""osm"":""node/10959406708""}",,,,,
02-00029,HAMICHE L,HAMICHE L,,02,0229,Oued Fodda,36.181645,1.529391,exact,osm_node,osm,"{""osm"":""node/10991941005""}",,,,,
02-00030,BEnkhedoma A,BEnkhedoma A,,02,0229,Oued Fodda,36.187302,1.532643,exact,osm_node,osm,"{""osm"":""node/11004389805""}",,,,,
02-00031,ZAIDI Hayet,ZAIDI Hayet,,02,0202,Tenes,36.503016,1.271924,exact,osm_node,osm,"{""osm"":""node/11147284305""}",,,,,
02-00032,ARABA ziane,ARABA ziane,,02,0201,Chlef,36.153957,1.340798,exact,osm_node,osm,"{""osm"":""node/11180908139""}",,,,,
02-00033,Missoum benziane H,Missoum benziane H,,02,0210,Ouled Fares,36.199605,1.264192,exact,osm_node,osm,"{""osm"":""node/11297750271""}",,,,,
02-00034,BENMAHFOUD O,BENMAHFOUD O,,02,0208,Sobha,36.106999,1.107861,exact,osm_node,osm,"{""osm"":""node/11297759069""}",,,,,
02-00035,FELLG ARIOUAT S,FELLG ARIOUAT S,,02,0201,Chlef,36.135067,1.355459,exact,osm_node,osm,"{""osm"":""node/11354757870""}",,,,,
02-00036,KADDOUR DJABBAR D,KADDOUR DJABBAR D,,02,0212,Boukadir,36.064514,1.127808,exact,osm_node,osm,"{""osm"":""node/11539833669""}",,,,,
02-00037,BELMECHRI R,BELMECHRI R,,02,0213,Beni Rached,36.279785,1.522956,exact,osm_node,osm,"{""osm"":""node/11622304469""}",,,,,
02-00038,CHERRAK S,CHERRAK S,,02,0213,Beni Rached,36.278289,1.52015,exact,osm_node,osm,"{""osm"":""node/11622359069""}",,,,,
02-00039,BENYAMINA DOUMA,BENYAMINA DOUMA,,02,0233,Oum Drou,36.184151,1.405833,exact,osm_node,osm,"{""osm"":""node/11635898369""}",,,,,
02-00040,MEDDAHI F,MEDDAHI F,,02,0213,Beni Rached,36.276851,1.52488,exact,osm_node,osm,"{""osm"":""node/11635898370""}",,,,,
02-00041,FETTAH W,FETTAH W,,02,0218,Ouled Abbes,36.215986,1.485656,exact,osm_node,osm,"{""osm"":""node/11635910370""}",,,,,
02-00042,BENABOURA I,BENABOURA I,,02,0227,El Hadjadj,36.070132,1.394454,exact,osm_node,osm,"{""osm"":""node/11637748969""}",,,,,
02-00043,TARFAOUI N,TARFAOUI N,,02,0210,Ouled Fares,36.20447,1.258957,exact,osm_node,osm,"{""osm"":""node/11662920069""}",,,,,
02-00044,BELARIF H,BELARIF H,,02,0201,Chlef,36.136885,1.288845,exact,osm_node,osm,"{""osm"":""node/11800339669""}",,,,,
02-00045,boussedour kh,boussedour kh,,02,0201,Chlef,36.148678,1.304549,exact,osm_node,osm,"{""osm"":""node/11816727976""}",,,,,
02-00046,TOUIL H,TOUIL H,,02,0222,Abou El Hassane,36.420203,1.236078,exact,osm_node,osm,"{""osm"":""node/11826235069""}",,,,,
02-00047,pharmacie elezaar charef,pharmacie elezaar charef,,02,0212,Boukadir,36.060086,1.133303,exact,osm_node,osm,"{""osm"":""node/11869558769""}",,,24/7,,
02-00048,elezaar charef,elezaar charef,,02,0212,Boukadir,36.059419,1.133298,exact,osm_node,osm,"{""osm"":""node/11872050569""}",,,,,
02-00049,MISSOUM R,MISSOUM R,,02,0203,Benairia,36.35313,1.374145,exact,osm_node,osm,"{""osm"":""node/11918424069""}",,,,,
02-00050,MISSOUM BENZINE H,MISSOUM BENZINE H,,02,0210,Ouled Fares,36.199188,1.263432,exact,osm_node,osm,"{""osm"":""node/11937068469""}",,,,,
02-00051,مصابيح,Pharmacie Messabih,مصابيح,02,0205,Tadjena,36.308987,1.245651,exact,osm_node,osm,"{""osm"":""node/12294795828""}",,027713293,Mo-Su 08:00-24:00,,
02-00052,pharmacie brahim azzouz,pharmacie brahim azzouz,,02,0201,Chlef,36.14592,1.329191,exact,osm_node,osm,"{""osm"":""node/12596703262""}",,,,,02000
02-00053,سفيان,Pharmacien soufian,سفيان,02,0201,Chlef,36.145477,1.322025,exact,osm_node,osm,"{""osm"":""node/12609768570""}",Pharmacien,,,,rond point
02-00054,pharmacie Bouzana Abdelhadi,pharmacie Bouzana Abdelhadi,,02,0212,Boukadir,36.066023,1.130336,exact,osm_node,osm,"{""osm"":""node/13327567501""}",,0562823155,Mo-Su 07:00-00:00,,"Cité Frères Belgaid Boukadir Chlef, 02002"
02-00055,Ali Arous H Pharmacy صيدلية علي عروس ح,,علي عروس ح,02,0201,Chlef,36.17083,1.363239,exact,osm_node,osm,"{""osm"":""node/13563946603""}",,,,,
02-00056,Pharmacie Belhadia,Pharmacie Belhadia,,02,0229,Oued Fodda,36.188842,1.533904,exact,osm_node,osm,"{""osm"":""node/3160142909""}",Belhadia,,,,"RN4, Oued Fodda 02100"
02-00057,,,,02,0211,Sidi Akkacha,36.461818,1.303381,exact,osm_node,osm,"{""osm"":""node/3937335917""}",,,,,سيدي عكاشة
02-00058,بن عبورة,Pharmacie Benaboura,بن عبورة,02,0202,Tenes,36.502215,1.25447,exact,osm_node,osm,"{""osm"":""node/3938032198""}",. بن عبورة,,,true,"وادي القصب, تنس"
02-00059,Pharmacie Lazaar,Pharmacie Lazaar,,02,0212,Boukadir,36.068253,1.125445,exact,osm_node,osm,"{""osm"":""node/4041045117""}",,,,,
02-00060,Pharmacie Taleb,Pharmacie Taleb,,02,0212,Boukadir,36.066278,1.126501,exact,osm_node,osm,"{""osm"":""node/4042079205""}",,,,true,
02-00061,Pharmacie 3847,Pharmacie 3847,,02,0207,Beni Haoua,36.531383,1.57044,exact,osm_node,osm,"{""osm"":""node/4144884590""}",,,,true,
02-00062,Pharmacie Fettah,Pharmacie Fettah,,02,0229,Oued Fodda,36.182934,1.534051,exact,osm_node,osm,"{""osm"":""node/4310053290""}",,,24/7,,02003
02-00063,Fettah,Fettah,,02,0229,Oued Fodda,36.182997,1.53415,exact,osm_node,osm,"{""osm"":""node/4310071589""}",,,,,02003
02-00064,,,,02,0213,Beni Rached,36.277269,1.520452,exact,osm_node,osm,"{""osm"":""node/4391855891""}",,,,,
02-00065,حميدي بوجلطية,Pharmacie hemidi,حميدي بوجلطية,02,0231,Bouzeghaia,36.325522,1.138771,exact,osm_node,osm,"{""osm"":""node/4428910292""}",,,,,
02-00066,Centre de prévention,Centre de prévention,,02,0231,Bouzeghaia,36.325073,1.138818,exact,osm_node,osm,"{""osm"":""node/4428910293""}",,,,,
02-00067,,,,02,0213,Beni Rached,36.276204,1.52257,exact,osm_node,osm,"{""osm"":""node/4474677990""}",,,,,
02-00068,,,,02,0210,Ouled Fares,36.229376,1.233689,exact,osm_node,osm,"{""osm"":""node/4511166391""}",,,,,أولاد فارس
02-00069,,,,02,0201,Chlef,36.16509,1.342148,exact,osm_node,osm,"{""osm"":""node/4582564993""}",,,,,
02-00070,,,,02,0201,Chlef,36.154249,1.353013,exact,osm_node,osm,"{""osm"":""node/4624142489""}",,,,,
02-00071,بن دريس,Pharmacie Bendris,بن دريس,02,0212,Boukadir,36.067537,1.132791,exact,osm_node,osm,"{""osm"":""node/4644300691""}",,,,true,
02-00072,,,,02,0210,Ouled Fares,36.203441,1.255956,exact,osm_node,osm,"{""osm"":""node/4788423728""}",,,,,"Zone 09, 02170"
02-00073,إيتيم,Pharmacie Itim,إيتيم,02,0201,Chlef,36.149904,1.329623,exact,osm_node,osm,"{""osm"":""node/5000391221""}",,,,,الشلف
02-00074,Pharmacie Bouthiba,Pharmacie Bouthiba,,02,0201,Chlef,36.164426,1.321033,exact,osm_node,osm,"{""osm"":""node/5000391421""}",,,,,
02-00075,Pharmacie Chemami,Pharmacie Chemami,,02,0201,Chlef,36.164906,1.333727,exact,osm_node,osm,"{""osm"":""node/5135751222""}",,,,true,
02-00076,Pharmacie Younes,Pharmacie Younes,,02,0208,Sobha,36.10904,1.10667,exact,osm_node,osm,"{""osm"":""node/5314526857""}",,,,,
02-00077,أدوية,Pharmacie,أدوية,02,0232,Ain Merane,36.161476,0.972631,exact,osm_node,osm,"{""osm"":""node/5420966023""}",,,,,
