id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,type_label_fr,sector,supervisory_ministry,website
00132,,المعهد الوطني للتكوين العالي شبه الطبي بباتنة,05,,,35.55,6.16667,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00133,,المعهد الوطني للتكوين العالي شبه الطبي ببجاية,06,,,36.75111,5.06417,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00134,,المعهد الوطني للتكوين العالي شبه الطبي ببسكرة,07,,,34.85,5.733,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00135,,المعهد الوطني للتكوين العالي شبه الطبي ببشار,08,,,31.617,-2.217,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00136,,المعهد الوطني للتكوين العالي شبه الطبي بتيارت,14,,,35.367,1.317,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00137,,المعهد الوطني للتكوين العالي شبه الطبي بجيجل,18,,,36.81667,5.75,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00138,,المعهد الوطني للتكوين العالي شبه الطبي بسطيف,19,,,36.19,5.41,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00139,,المعهد الوطني للتكوين العالي شبه الطبي بسعيدة,20,,,34.833,0.15,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00140,,المعهد الوطني للتكوين العالي شبه الطبي بسكيكدة,21,,,36.86667,6.9,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00141,,المعهد الوطني للتكوين العالي شبه الطبي بسيدي بلعباس,22,,,35.19389,-0.64139,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00142,,المعهد الوطني للتكوين العالي شبه الطبي بعين الدفلة,44,,,36.2652,1.9703,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00143,,المعهد الوطني للتكوين العالي شبه الطبي بقسنطينة,25,,,36.35,6.6,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00144,,المعهد الوطني للتكوين العالي شبه الطبي بمستغانم,27,,,35.933,0.083,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00145,,المعهد الوطني للتكوين العالي شبه الطبي بمعسكر,29,,,35.4,0.13333,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00146,,المعهد الوطني للتكوين العالي شبه الطبي بورقلة,30,,,31.95,5.317,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00147,,المعهد الوطني للتكوين العالي شبه الطبي بوهران 1,31,,,35.69694,-0.63306,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00148,,المعهد الوطني للتكوين العالي شبه الطبي للقابلات بالجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00149,,المعهد الوطني للتكوين العالي شبه الطبي للقابلات بعنابة,23,,,36.9,7.767,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00150,,المعهد الوطني لمهن فنون العرض والسمعي البصري,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Culture et des Arts,https://ismas.dz/
00151,,مدرسة ادارة الأعمال المدينة الجديدة تيزي وزو,15,,,36.717,4.05,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,http://emto-univ.com/
00152,,مدرسة ادارة الأعمال بالجزائر(بيزناس سكول) حيدرة الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,https://em-alger.com/
00153,,مدرسة التكوين في تقنيات التسيير دالي ابراهيم الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,https://eftg-sup.com/
00154,,معهد إدارة الأعمال ( أنسيم سوب) حيدرة الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,https://www.insimsup.dz/
00155,,معهد البصريات اولاد فايت. الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,http://www.inoof-dz.com/
00156,,معهد البصريات برج بوعريريج,34,,,36.067,4.767,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,https://www.io-bba.com/
00157,,معهد التكنولوجيا ( نوميديا) سيدي عبد الله .الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,
00158,,معهد التكوين في التأمينات والتسيير بن عكنون.الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,
00159,,معهد المناجمنت سعيد حمدين بالجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,https://imaa-univ.com/
00160,,معهد المناجمنت والتطوير الشراقة.الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,https://mdi-alger.com/
00161,Ecole normale supérieure d’enseignement technologique de Skikda,المدرسة العليا لأساتذة التعليم التكنولوجي بسكيكدة,21,,,36.86667,6.9,approximate,wilaya,mesrs,ens,École normale supérieure,public,,http://www.enset-skikda.dz/
00162,Ecole Normale Supérieure d’Oran,المدرسة العليا للأساتذة بوهران,31,,,35.69694,-0.63306,approximate,wilaya,mesrs,ens,École normale supérieure,public,,http://www.ens-oran.dz/index.php/fr/
00163,Ecole normale supérieure de Béchar,,08,,,31.617,-2.217,approximate,wilaya,mesrs,ens,École normale supérieure,public,,http://ensb.univ-bechar.dz/ensb/?page_id=971
00164,Ecole normale supérieure de Bou Saâda,المدرسة العليا للأساتذة بوسعادة المجاهد الفريق احمد قايد صالح,68,,Bou Saada,35.2577086,4.1811706,exact,campus,mesrs,ens,École normale supérieure,public,,http://www.ens-bousaada.dz/ar/
00165,Ecole normale supérieure de Bouzaréah – Cheikh Mubarak Ben Mohamed Brahimi El Mili,المدرسة العليا للأساتذة بوزريعة الشيخ مبارك بن محمد إبراهيمي الميلي الجزائري,16,,Bouzareah,36.79,3.0177,approximate,commune,mesrs,ens,École normale supérieure,public,,http://www.ensb.dz/
00166,Ecole normale supérieure de Constantine -Assia Djebar,المدرسة العليا للأساتذة الآداب والعلوم الانسانية قسنطينة الكاتبة آسيا جبار,25,,,36.35,6.6,approximate,wilaya,mesrs,ens,École normale supérieure,public,,http://www.ensc.dz/
00167,Ecole normale supérieure de Kouba – Mohamed Bachir El Ibrahimi,المدرسة العليا للأساتذة القبة الشيخ محمد البشير الإبراهيمي,16,,Kouba,36.74413,3.086474,approximate,commune,mesrs,ens,École normale supérieure,public,,http://www.ens-kouba.dz/
00168,Ecole normale supérieure de Laghouat – Taleb Abderrahmane,المدرسة العليا للأساتذة بالأغواط – طالب عبد الرحمان,03,,Laghouat,33.8108153,2.8641055,exact,campus,mesrs,ens,École normale supérieure,public,,https://www.ens-lagh.dz/en/
00169,Ecole Normale Supérieure de Mostaganem,المدرسة العليا للأساتذة بمستغانم,27,,,35.933,0.083,approximate,wilaya,mesrs,ens,École normale supérieure,public,,http://ens.univ-mosta.dz/
00170,Ecole normale supérieure de Ouargla,المدرسة العليا للأساتذة ورقلة,30,,,31.95,5.317,approximate,wilaya,mesrs,ens,École normale supérieure,public,,http://ens-ouargla.dz/
00171,Ecole normale supérieure de setif – Messaoud Zeghar,المدرسة العليا للأساتذة سطيف المجاهد مسعود زغار,19,,El Eulma,36.1579698,5.6643673,exact,campus,mesrs,ens,École normale supérieure,public,,http://www.ens-setif.dz/
00172,Ecole normale supérieure de sourds muets,المدرسة العليا للأساتذة الصم والبكم,16,,,36.7325,3.08722,approximate,wilaya,mesrs,ens,École normale supérieure,public,,http://www.enssm.dz/
00173,Centre universitaire d’Aflou,المركز الجامعي آفلو,59,,,34.10889,2.10194,approximate,wilaya,mesrs,centre_universitaire,Centre universitaire,public,,https://www.cu-aflou.dz/index_fr.php
00174,Centre universitaire d’El Bayadh – Nour Bachir,المركز الجامعي بالبيض – نور البشير,32,,,33.68028,1.02028,approximate,wilaya,mesrs,centre_universitaire,Centre universitaire,public,,http://www.cu-elbayadh.dz/
00175,Centre Universitaire d’Illizi-Cheikh Amoud ben Mokhtar,المركز الجامعي إليزي المقاوم الشيخ آمود بن مختار,33,,,26.505,8.482,approximate,wilaya,mesrs,centre_universitaire,Centre universitaire,public,,http://www.cuillizi.dz/?page_id=528&amp;lang=fr#pll_switcher
00176,Centre Universitaire de Barika – Si El Haouès,المركز الجامعي بريكة – أحمد حمودة بن عبد الرزاق المدعو سي الحواس,60,,Barika,35.3632697,5.3549741,exact,campus,mesrs,centre_universitaire,Centre universitaire,public,,http://www.cu-barika.dz/
00177,Centre universitaire de Maghnia,المركز الجامعي لمغنية,13,,Maghnia,34.8361199,-1.7295867,exact,campus,mesrs,centre_universitaire,Centre universitaire,public,,http://www.cu-maghnia.edu.dz/
