id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,type_label_fr,sector,supervisory_ministry,website
00032,Université de Laghouat – Amar Telidji,جامعة الأغواط – عمار ثليجي,03,,Laghouat,33.796661,2.8466973,exact,campus,mesrs,universite,Université,public,,http://www.lagh-univ.dz/
00033,Université de M’sila – Mohamed Boudiaf,جامعة المسيلة – محمد بوضياف,28,,M'sila,35.7416528,4.5467418,exact,campus,mesrs,universite,Université,public,,http://www.univ-msila.dz/
00034,Université de Mascara – Mustapha Stambouli,جامعة مصطفى اسطمبولي معسكر,29,,Mascara,35.4152817,0.1276161,exact,campus,mesrs,universite,Université,public,,http://www.univ-mascara.dz/
00035,Université de Mila – Abdelhafid Boussouf,جامعة ميلة – عبد الحفيظ بوالصوف,43,,Mila,36.4565193,6.2317486,exact,campus,mesrs,universite,Université,public,,https://www.centre-univ-mila.dz/?lang=fr
00036,Université de Mostaganem – Abdelhamid Ibn Badis,جامعة عبد الحميد ابن باديس مستغانم,27,,Mostaganem,35.9312755,0.0884236,exact,campus,mesrs,universite,Université,public,,http://www.univ-mosta.dz/
00037,Université de Naama – Ahmed Salhi,جامعة النعامة – صالحي أحمد المدعو علي,45,,,33.26222,-0.31444,approximate,wilaya,mesrs,universite,Université,public,,http://www.cuniv-naama.dz/
00038,Université de Ouargla – Kasdi Merbah,جامعة ورقلة – قاصدي مرباح,30,,Ouargla,31.9398356,5.3067979,exact,campus,mesrs,universite,Université,public,,http://www.univ-ouargla.dz/
00039,Université de Oum El Bouaghi – Larbi Ben M’hidi,جامعة أم البواقي – العربي بن مهيدي,04,,Oum El Bouaghi,35.8753116,7.0890982,exact,campus,mesrs,universite,Université,public,,http://www.univ-oeb.dz/
00040,Université de Relizane,جامعة غليزان,48,,Relizane,35.7050116,0.5805459,exact,campus,mesrs,universite,Université,public,,https://www.univ-relizane.dz/index.php/fr
00041,Université de Saida – Tahar Moulay,جامعة الدكتور مولاي الطاهر سعيدة,20,,Ouled Khaled,34.8588609,0.152995,exact,campus,mesrs,universite,Université,public,,http://www.univ-saida.dz/
00042,Université de Sétif 1 – Ferhat Abbas,جامعة سطيف1 – فرحات عباس,19,,,36.19,5.41,approximate,wilaya,mesrs,universite,Université,public,,http://www.univ-setif.dz/
00043,Université de Sétif 2 – Mohamed Lamine Debaghine,جامعة سطيف2 – لمين دباغين,19,,Setif,36.2137324,5.4449312,exact,campus,mesrs,universite,Université,public,,http://www.univ-setif2.dz/
00044,Université de Souk Ahras – Mohammed-Chérif Messaadia,جامعة سوق أهراس – محمد الشريف مساعدية,41,,Souk Ahras,36.2984539,7.9242269,exact,campus,mesrs,universite,Université,public,,http://www.univ-soukahras.dz/fr/
