id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,line,operator,network
21-003,,,,21,2121,Beni Oulbane,36.731201,6.649957,exact,osm_node,osm,"{""osm"":""node/9397029330""}",rail,,SNTF,
21-004,Azzaba,Azzaba,محطة قطار عزابة,21,2104,Azzaba,36.738287,7.111051,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117321514"",""osm"":""node/2422393996""}",rail,ligne de Ramdane Djamel à Annaba,SNTF,
21-005,Ramdane Djamel,Ramdane Djamel,محطة قطار رمضان جمال,21,2123,Ramdane Djamel,36.755719,6.903156,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117546971"",""osm"":""node/2422393669""}",rail,ligne de Ramdane Djamel à Annaba | ligne de Ramdane Djamel à Jijel | ligne d'Alger à Skikda,SNTF,
21-006,Aïn Kechra,Aïn Kechra,محطة قطار عين قشرة,21,2127,Ain Kechra,36.744377,6.422138,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117605982"",""osm"":""node/2422379184""}",rail,ligne de Ramdane Djamel à Jijel,SNTF,
21-007,Aïn Rouibah,Aïn Rouibah,محطة قطار عين رويبح,21,2111,Beni Zid,36.799197,6.512246,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117606452"",""osm"":""node/4274574376""}",rail,ligne de Ramdane Djamel à Jijel,SNTF,
21-008,Tamalous,Tamalous,محطة قطار تمالوس,21,2126,Tamalous,36.824332,6.626331,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117606794"",""osm"":""node/2570312522""}",rail,ligne de Ramdane Djamel à Jijel,SNTF,
21-009,Sidi Mezghiche,Sidi Mezghiche,محطة قطار سيدي مزغيش,21,2119,Sidi Mezghiche,36.674364,6.718309,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117606962"",""osm"":""node/2422368511""}",rail,ligne de Ramdane Djamel à Jijel,SNTF,
21-010,Emdjez Edchich,Emdjez Edchich,محطة قطار أمجاز الدشيش,21,2120,Emjez Edchich,36.711885,6.805783,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117607170"",""osm"":""node/9397063519""}",rail,ligne de Ramdane Djamel à Jijel,SNTF,
21-011,Skikda,Skikda,محطة قطار سكيكدة,21,2101,Skikda,36.883796,6.908611,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117607638"",""osm"":""node/2422394019""}",rail,ligne d'Alger à Skikda,SNTF,
21-012,Hamadi Krouma,Hamadi Krouma,محطة قطار حمادي كرومة,21,2137,Hammadi Krouma,36.844722,6.933611,exact,wikidata,wikidata,"{""wikidata"":""Q117607854""}",rail,ligne d'Alger à Skikda,SNTF,
21-013,Sahki Ahmed,Sahki Ahmed,محطة قطار سحقي احمد,21,2125,Salah Bouchaour,36.731389,6.861389,exact,wikidata,wikidata,"{""wikidata"":""Q117607954""}",rail,ligne d'Alger à Skikda,SNTF,
21-014,Salah Bouchaour,Salah Bouchaour,محطة قطار صالح بو الشعور,21,2125,Salah Bouchaour,36.705703,6.851783,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117608074"",""osm"":""node/2422308714""}",rail,ligne d'Alger à Skikda,SNTF,
21-015,El Harrouch,El Harrouch,محطة قطار الحروش,21,2117,Zerdezas,36.662281,6.83684,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117608280"",""osm"":""node/2239894021""}",rail,ligne d'Alger à Skikda,SNTF,
21-016,Aïn Bouziane,Aïn Bouziane,محطة قطار عين بوزيان,21,2122,Ain Bouziane,36.598323,6.749621,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117608453"",""osm"":""node/2421006922""}",rail,ligne d'Alger à Skikda,SNTF,
21-017,Station Bouyala,Station Bouyala,محطة بويالة,21,2101,Skikda,36.87306,6.901755,exact,osm_node,osm,"{""osm"":""node/2869482894""}",aerial_tram,,,
21-018,Télécabine de Skikda,Télécabine de Skikda,محطة بوعباز,21,2101,Skikda,36.87969,6.91892,exact,osm_node,wikidata+osm,"{""wikidata"":""Q109045597"",""osm"":""node/2869482893""}",gondola,,,
21-019,Station Gare Routière,Station Gare Routière,محطة النقل البرية,21,2101,Skikda,36.872222,6.913333,exact,osm_node,wikidata+osm,"{""wikidata"":""Q25449006"",""osm"":""node/2869482892""}",gondola,,,
22-001,Sidi Bel Abbès,Sidi Bel Abbès,محطة القطار سيدي بلعباس,22,2201,Sidi Bel-Abbes,35.228847,-0.628912,exact,osm_node,osm,"{""osm"":""node/5294716991""}",rail,,SNTF,
22-002,,,,22,2235,Sidi Chaib,34.0576,-0.550196,exact,osm_node,osm,"{""osm"":""node/9361020148""}",rail,,SNTF,
22-003,,,,22,2235,Sidi Chaib,34.190229,-0.551914,exact,osm_node,osm,"{""osm"":""node/9361020157""}",rail,,SNTF,
22-004,,,,22,2235,Sidi Chaib,34.402701,-0.66849,exact,osm_node,osm,"{""osm"":""node/9361038934""}",rail,,SNTF,
22-005,Moulay Slissen,Moulay Slissen,محطة القطار مولاي سليسن,22,2218,Moulay Slissen,34.823428,-0.756091,exact,osm_node,wikidata+osm,"{""wikidata"":""Q116780361"",""osm"":""node/10797298377""}",rail,ligne de Moulay Slissen à Saïda | ligne de Oued Tlelat à Béchar,SNTF,
22-006,Telagh,Telagh,محطة القطار تلاغ,22,2205,Telagh,34.76856,-0.564667,exact,osm_node,wikidata+osm,"{""wikidata"":""Q116780402"",""osm"":""node/10797298378""}",rail,ligne de Moulay Slissen à Saïda,SNTF,
22-007,Tabia,Tabia,محطة القطار طابية,22,2207,Boukhanefis,35.022,-0.743,exact,osm_node,wikidata+osm,"{""wikidata"":""Q119583885"",""osm"":""node/10797298375""}",rail,ligne de Oued Tlelat à Béchar | ligne de Tabia à Akid Abbes,SNTF,
22-008,Aïn Tallout,Aïn Tallout,عين تالوت,22,2245,Ben Badis,34.9297,-0.9568,exact,osm_node,wikidata+osm,"{""wikidata"":""Q119583978"",""osm"":""node/5732975510""}",rail,ligne de Tabia à Akid Abbes,SNTF,
22-009,Aïn El Berd,Aïn El Berd,,22,2228,Ain El Berd,35.3625,-0.511111,exact,wikidata,wikidata,"{""wikidata"":""Q120281816""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-010,Boukhanafis,Boukhanafis,محطة القطار بوخنيفيس,22,2207,Boukhanefis,35.063056,-0.725833,exact,osm_node,wikidata+osm,"{""wikidata"":""Q120281863"",""osm"":""node/10674265980""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-011,Djeniene Meskine,Djeniene Meskine,محطة قطار جنين مسكين,22,2216,Makedra,35.448333,-0.403611,exact,wikidata,wikidata,"{""wikidata"":""Q120281932""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-012,El Haçaiba,El Haçaiba,الحصيبة,22,2219,El Hacaiba,34.704167,-0.758333,exact,osm_node,wikidata+osm,"{""wikidata"":""Q120287034"",""osm"":""node/9363457099""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-013,Ouled Ali,Ouled Ali,محطة أولاد علي,22,2228,Ain El Berd,35.403333,-0.478333,exact,wikidata,wikidata,"{""wikidata"":""Q120287643""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-014,Ras El Ma,Ras El Ma,رأس الماء,22,2223,Ras El Ma,34.488333,-0.808056,exact,osm_node,wikidata+osm,"{""wikidata"":""Q120287989"",""osm"":""node/9363416620""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-015,Redjem Demouche,Redjem Demouche,رجم دموش,22,2250,Redjem Demouche,34.425278,-0.786389,exact,osm_node,wikidata+osm,"{""wikidata"":""Q120288101"",""osm"":""node/9361038971""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-016,Sidi Ali Benyoub,Sidi Ali Benyoub,محطة القطار سيدي علي بن يوب,22,2246,Sidi Ali Benyoub,34.942222,-0.727778,exact,osm_node,wikidata+osm,"{""wikidata"":""Q120288324"",""osm"":""node/10674265986""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-017,Sidi Bel Abbès,Sidi Bel Abbès,محطة قطار سيدي بلعباس,22,2201,Sidi Bel-Abbes,35.199167,-0.638333,exact,osm_node,wikidata+osm,"{""wikidata"":""Q120288421"",""osm"":""node/10671372065""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-018,Sidi Brahim,Sidi Brahim,,22,2203,Sidi Brahim,35.259778,-0.572,exact,wikidata,wikidata,"{""wikidata"":""Q120288509""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-019,Sidi Hamadouche,Sidi Hamadouche,,22,2203,Sidi Brahim,35.306944,-0.546389,exact,wikidata,wikidata,"{""wikidata"":""Q120288592""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-020,Sidi Khaled,Sidi Khaled,,22,2227,Sidi Khaled,35.113611,-0.713611,exact,wikidata,wikidata,"{""wikidata"":""Q120288695""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-021,Sidi Lahcene,Sidi Lahcene,محطة سيدي لحسن,22,2214,Sidi Lahcene,35.1625,-0.689167,exact,osm_node,wikidata+osm,"{""wikidata"":""Q120288809"",""osm"":""node/10797298372""}",rail,ligne de Oued Tlelat à Béchar,SNTF,
22-022,Taffamane,Taffamane,,22,2247,Chetouane Belaila,34.9643,-0.85886,exact,wikidata,wikidata,"{""wikidata"":""Q123283956""}",rail,,SNTF,
22-023,Les Pins,Les Pins,,22,2219,El Hacaiba,34.6614,-0.7902,exact,wikidata,wikidata,"{""wikidata"":""Q123498558""}",rail,,SNTF,
22-024,Tatenyaya,Tatenyaya,,22,2237,Oued Sebaa,34.602948,-0.824033,exact,wikidata,wikidata,"{""wikidata"":""Q123498559""}",rail,,SNTF,
22-025,Ben Badis,Ben Badis,محطة بن باديس,22,2245,Ben Badis,34.93566,-0.91243,exact,wikidata,wikidata,"{""wikidata"":""Q123498615""}",rail,,SNTF,
22-026,Houari Boumédiene,Houari Boumédiene,هواري بومدين,22,2201,Sidi Bel-Abbes,35.199692,-0.624759,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684338"",""osm"":""node/9064774909""}",tram,,SETRAM,Sidi Bel Abbès
