id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,acronym,bank_code,type,ownership,ownership_country,parent_company,swift_bic,website,hq_address,hq_city,year_established
alc,Arab Leasing Corporation,Arab Leasing Corporation,,16,,,,,,,boa,ALC,,financial_institution,private_domestic,Algeria,,,https://arableasing.dz,"Cité Bois des Cars III, Dély Brahim",Alger,2001
cnma,Caisse Nationale de Mutualité Agricole,Caisse Nationale de Mutualité Agricole,الصندوق الوطني للتعاون الفلاحي,16,,,,,,,boa,CNMA,,financial_institution,public,Algeria,,,https://www.cnma.dz,"24, boulevard Victor Hugo, Alger-Centre",Alger,1972
edi,El Djazair Idjar SPA,El Djazair Idjar SPA,الجزائر إيجار,16,,,,,,,boa,EDI,,financial_institution,public,Algeria,CPA / BADR / ASICOM,,https://www.eldjazairidjar.dz,,Alger,2012
ila,Ijar Leasing Algérie SPA,Ijar Leasing Algérie SPA,,16,,,,,,,boa,ILA,,financial_institution,public,Algeria,Banque Extérieure d'Algérie (BEA),,https://www.ijarleasingalgerie.dz,"71 Rue Mohamed Belkacemi, El Madania",Alger,
mla,Maghreb Leasing Algérie,Maghreb Leasing Algérie,,16,,,,,,,boa,MLA,,financial_institution,private_foreign,Tunisia,AMEN Group (Tunisie Leasing),,https://www.maghrebleasingalgerie.com,"39, Rue Djenane El Malik, Hydra",Alger,2006
snl,Société Nationale de Leasing SPA,Société Nationale de Leasing SPA,الشركة الوطنية للتأجير,16,,,,,,,boa,SNL,,financial_institution,public,Algeria,BNA / BDL,,https://snl.dz,"52, avenue du 1er Novembre, Zéralda",Alger,2010
sofinance,"Société Financière d'Investissement, de Participation et de Placement - Sofinance SPA","Société Financière d'Investissement, de Participation et de Placement - Sofinance SPA",الشركة المالية للاستثمارات والمساهمة,16,,,,,,,boa,SOFINANCE,,financial_institution,public,Algeria,État algérien,,https://www.sofinance.dz,"34, avenue Mohamed Belkacemi, El Madania",Alger,2001
srh,Société de Refinancement Hypothécaire,Société de Refinancement Hypothécaire,شركة إعادة التمويل الرهني,16,,,,,,,boa,SRH,,financial_institution,public,Algeria,État algérien,,https://www.srh-dz.org,"N° 03, Centre des Affaires, Saïd Hamdine, Bir Mourad Raïs",Alger,1997
