id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
ooredoo-364fd5f8cb,BOUMERDES,35,,BOUMERDES,,36.7570484873,3.4879059534,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-375b2c4199,BIR EL DJIR,31,,BIR EL DJIR,,35.7295067998,-0.5505961872,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-38e3e67804,BECHAR,08,,BECHAR,,31.5920455732,-1.9159643683,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-39be5ee28b,BAZER SAKHRA,19,,BAZER SAKHRA,,36.0787526735,5.6803666813,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-3b161ffeee,OULED HEDADJ,35,,OULED HEDADJ,,36.7111651746,3.3422247051,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-3d0ce12c10,AIN BENIAN,16,,AIN BENIAN,,36.7931934794,2.9276964381,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-3d22e3d667,HAMMA ANASSERS,16,,HAMMA ANASSERS,,36.7491162336,3.0740161882,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-3d4f75375f,EL ACHOUR,16,,EL ACHOUR,,36.7288856142,2.9841403475,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-3defa3ffc3,SAIDA,20,,SAIDA,,34.8319469951,0.1354507138,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-3e1c8af876,ADRAR,01,,ADRAR,,27.966641948,-0.182860151,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-3f15354fd2,EL MILIA,18,,EL MILIA,,36.7978317994,6.2745537052,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-402f42795d,CASBAH,16,,CASBAH,,36.7844390519,3.0600802518,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-404997f89d,BORDJ BADJI MOKHTAR,50,,BORDJ BADJI MOKHTAR,,23.4807963281,-0.8629135221,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-41c544377a,DJELFA,17,,DJELFA,,34.661261079,3.2197755561,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-41d68cee83,KOUBA,16,,KOUBA,,36.7241588034,3.0781381718,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-427b9fbf0b,ANNABA,23,,ANNABA,,36.9157885856,7.7409927981,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-4362d58094,BOUDOUAOU,35,,BOUDOUAOU,,36.7039269845,3.4201207128,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-45d9381448,LAKHDARIA,10,,LAKHDARIA,,36.561799747,3.589726887,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-496e1676c4,EL MENIAA,58,,EL MENIAA,,31.1508366248,2.9452427911,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-4be9255d91,MILIANA,44,,MILIANA,,36.30963097,2.2315120444,approximate,operator_commune_point,ooredoo,ooredoo,5G,
