id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
djezzy-db17636a41,La Glaciere Rue du hana,16,,,,36.7291,3.1207,exact,operator_map,djezzy,djezzy,5G,BACH DJERRAH
djezzy-db7019a8b0,Baraki cite Touileb,16,,,,36.67021,3.10286,exact,operator_map,djezzy,djezzy,5G,BARAKI
djezzy-dbb035ee5d,Memorial des martyrs,19,,,,36.1804,5.39903,exact,operator_map,djezzy,djezzy,5G,Setif
djezzy-dbf2877641,Nouvelle Ville 6,25,,,,36.257895,6.58759,exact,operator_map,djezzy,djezzy,5G,EL KHROUB
djezzy-dc88be497a,Ain el hout,13,,,,34.93523,-1.32647,exact,operator_map,djezzy,djezzy,5G,CHETOUANE
djezzy-dc96060f06,CITE ELMABOUDA,19,,,,36.1915,5.3916,exact,operator_map,djezzy,djezzy,5G,Setif
djezzy-dcaab02aee,CNEG,16,,,,36.7828,3.0269,exact,operator_map,djezzy,djezzy,5G,BOUZAREAH
djezzy-dcbdae9c3d,Yaghmoracen,31,,,,35.6732222222222,-0.665888888888889,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-dd0f07e9ee,SDH Koudia,13,,,,34.9029,-1.3603,exact,operator_map,djezzy,djezzy,5G,Tlemcen
djezzy-dd139985ac,V_BELLE_VUE_T,25,,,,36.358,6.6048,exact,operator_map,djezzy,djezzy,5G,Constantine
djezzy-dd5809310f,ZI hamrouche Hamoudi,21,,,,36.45316,6.928088,exact,operator_map,djezzy,djezzy,5G,EL MARSA
djezzy-ddec833182,Cheraga 4,16,,,,36.77055,2.96396,exact,operator_map,djezzy,djezzy,5G,CHERAGA
djezzy-de4e947bef,Micro Chrarba,16,,,,36.687902,3.173108,exact,operator_map,djezzy,djezzy,5G,LES EUCALYPTUS
djezzy-de713ee3a8,Ras El Ain,19,,,,35.901945,5.296008,exact,operator_map,djezzy,djezzy,5G,AIN OULMANE
djezzy-de73e85f94,"Centre d""affaire les falaises",31,,,,35.716316,-0.606158,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-de7a708e51,Trade Center BEZ,16,,,,36.71221,3.19684,exact,operator_map,djezzy,djezzy,5G,BEB EZZOUAR
djezzy-deaaebcaad,'Cite kourifa,16,,,,36.704276,3.138286,exact,operator_map,djezzy,djezzy,5G,EL HARRACH
djezzy-def7d5b735,EL HADAB,30,,,,31.92974,5.35163,exact,operator_map,djezzy,djezzy,5G,ROUISSAT
djezzy-e011a69133,CITE_HASNA,13,,,,34.91764,-1.3197,exact,operator_map,djezzy,djezzy,5G,Tlemcen
djezzy-e049df689b,Boulevard des Martyrs 2,16,,,,36.74999,3.05938,exact,operator_map,djezzy,djezzy,5G,HYDRA
djezzy-e051557d3b,El Arkam_2,16,,,,36.77166,3.00037,exact,operator_map,djezzy,djezzy,5G,DELY BRAHIM
djezzy-e0915a091c,Baranesse hai soumam,16,,,,36.77847,3.01263,exact,operator_map,djezzy,djezzy,5G,BOUZAREAH
djezzy-e1083ef137,cité Bois des cars 2,16,,,,36.75381,2.97661,exact,operator_map,djezzy,djezzy,5G,DELY BRAHIM
djezzy-e1f52a0191,Bentini,30,,,,31.62809,6.1876,exact,operator_map,djezzy,djezzy,5G,HASSI MESSAOUD
djezzy-e217c1ca8d,Marmara Hotel,31,,,,35.667083,-0.65004,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-e2302e0f47,Maternite d'Oran,31,,,,35.67375,-0.632694,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-e27411d63a,Résidence Kortoba,31,,,,35.720382,-0.576069,exact,operator_map,djezzy,djezzy,5G,BIR EL DJIR
djezzy-e279398ae7,Chiffa Slimane Ali,09,,,,36.46335,2.742,exact,operator_map,djezzy,djezzy,5G,CHIFFA
djezzy-e2c3a5bc89,Hosn El Djiwar,31,,,,35.7005,-0.592083333333333,exact,operator_map,djezzy,djezzy,5G,BIR EL DJIR
djezzy-e2e3d1dce6,Amara,16,,,,36.76291,2.94866,exact,operator_map,djezzy,djezzy,5G,CHERAGA
djezzy-e313846970,ouled sidi mohamed Birtouta,16,,,,36.62255,2.96426,exact,operator_map,djezzy,djezzy,5G,BIRTOUTA
djezzy-e341c767d8,Iryahen,06,,,,36.7249,5.07232,exact,operator_map,djezzy,djezzy,5G,Bejaia
djezzy-e4767c300f,Autoroute Oued Smar,16,,,,36.68851,3.11555,exact,operator_map,djezzy,djezzy,5G,BARAKI
djezzy-e48f4cc983,Universite Belgaid,31,,,,35.73747,-0.53859,exact,operator_map,djezzy,djezzy,5G,BIR EL DJIR
djezzy-e4e7e748fe,Verte Rive_1,16,,,,36.7537,3.215,exact,operator_map,djezzy,djezzy,5G,BORDJ EL KIFFAN
djezzy-e4f9befae6,Coop ANABIB,16,,,,36.7328,3.3438,exact,operator_map,djezzy,djezzy,5G,REGHAIA
djezzy-e570877b53,Air Algerie,16,,,,36.7138,3.0964,exact,operator_map,djezzy,djezzy,5G,BOUROUBA
djezzy-e5a11f8ee5,HOPITAL MILITAIRE DE AIN NAADJA,16,,,,36.7242,3.0632,exact,operator_map,djezzy,djezzy,5G,KOUBA
djezzy-e60f3af0b5,Hidoussi 2,16,,,,36.654761,3.147669,exact,operator_map,djezzy,djezzy,5G,LES EUCALYPTUS
djezzy-e652571c78,Sarkina,25,,,,34.65177,6.651979,exact,operator_map,djezzy,djezzy,5G,Constantine
djezzy-e656ee7bac,Zaouia Azzaba,21,,,,36.7189,7.0596,exact,operator_map,djezzy,djezzy,5G,AZZABA
djezzy-e678bc259b,La Brise,16,,,,36.78532,3.24371,exact,operator_map,djezzy,djezzy,5G,BORDJ EL BAHRI
djezzy-e6f086feee,El Djamila,16,,,,36.7985,2.90165,exact,operator_map,djezzy,djezzy,5G,AIN BENIAN
djezzy-e714d13eb9,Avenu du 08 Mai 45_ Setif,19,,,,36.18833,5.408389,exact,operator_map,djezzy,djezzy,5G,Setif
