id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,status,postal_code,postal_code_old,address
10594,GOURARA,49,,TIMIMOUN,تيميمون,29.2534367,0.2276667,exact,baridimap,baridimap,1,49072,01072,
10597,TANZROUFTE,50,,BORDJ BADJI MOKHTAR,برج باجي مختار,21.3248873,0.9646408,exact,baridimap,baridimap,1,50073,01073,
10599,TIMAIOUINE,50,,TIMIAOUINE,تيمياوين,20.4399549,1.8057355,exact,baridimap,baridimap,1,50042,01042,
1060,MSILA RP INDOOR 2,28,,M'SILA,المسيلة,35.7056145,4.536374,exact,baridimap,baridimap,1,28000,,
10601,LALA AOUDA,02,,CHLEF,الشلف,36.1454617,1.33151,exact,baridimap,baridimap,1,02042,,
10602,LABIODH MEDJADJA,02,,LABIOD MEDJADJA,الأبيض مجاجة,36.2511783,1.3927533,exact,baridimap,baridimap,1,02049,,
10603,EL HOUITA,03,,EL HOUITA,الحويطة,33.6435232,2.4411858,exact,baridimap,baridimap,1,03040,,
10604,AIN BAIDA SAIDI DJEMOI,04,,AIN BEIDA,عين البيضاء,35.7891334,7.3924251,exact,baridimap,baridimap,1,04057,,
10605,AIN MLILA 05 JUILLET,04,,AIN M'LILA,عين مليلة,36.0384317,6.560055,exact,baridimap,baridimap,1,04061,,
10606,AIN BEIDA EL KAHINA,04,,AIN BEIDA,عين البيضاء,35.87666,7.117265,exact,baridimap,baridimap,1,04065,,
10607,AIN KERCHA SALEM,04,,AIN KERCHA,عين كرشة,35.9248023,6.7035749,exact,baridimap,baridimap,1,04063,,
10608,SOUK NAAMANE HB,04,,SOUK NAAMANE,سوق نعمان,35.8924467,6.3883753,exact,baridimap,baridimap,1,04067,,
10609,AIN FAKROUN SATHA,04,,AIN FAKROUN,عين فكرون,35.9688599,6.8759887,exact,baridimap,baridimap,1,04016,,
1061,MSILA RP 2,28,,M'SILA,المسيلة,35.7058213,4.5366493,exact,baridimap,baridimap,1,28000,,
10610,BEKHOUCHE AISSA,04,,AIN FAKROUN,عين فكرون,35.9809263,6.8720425,exact,baridimap,baridimap,1,04064,,
10611,EL HADJEB,03,,TADJEMOUT,تاجموت,33.943721,2.6206516,exact,baridimap,baridimap,1,03057,,
10612,SIDI BOUZID,03,,SIDI BOUZID,سيدي بوزيد,34.34602,2.2658417,exact,baridimap,baridimap,1,03024,,
10615,HARMELIA,04,,EL HARMILIA,الحرملية,35.9250595,6.6235358,exact,baridimap,baridimap,1,04032,,
10616,BOUAKAL,05,,BATNA,باتنة,35.5441774,6.1736888,exact,baridimap,baridimap,1,05148,,
10617,ZONE INDIS KECHIDA,05,,BATNA,باتنة,35.5546479,6.1544779,exact,baridimap,baridimap,1,05109,,
10618,EL AURES,05,,BATNA,باتنة,35.5504519,6.1281725,exact,baridimap,baridimap,1,05143,,
10619,BOUZOURANE,05,,BATNA,باتنة,35.5619083,6.1962333,exact,baridimap,baridimap,1,05144,,
1062,MSILA RP,28,,M'SILA,المسيلة,35.7053334,4.5360901,exact,baridimap,baridimap,1,28000,,
10620,EL KSAR,05,,KSAR BELEZMA,قصر بلزمة,35.6751971,5.9014298,exact,baridimap,baridimap,1,05047,,
10621,MCIL,05,,OULED SELLAM,أولاد سلام,35.8258365,5.8824907,exact,baridimap,baridimap,1,05044,,
10622,TALKHEMET,05,,TALKHAMT,تالغمت,35.6681471,5.7917773,exact,baridimap,baridimap,1,05051,,
10623,MEROUANA 8 MAI 45,05,,MEROUANA,مروانة,35.6288306,5.9132768,exact,baridimap,baridimap,1,05030,,
10624,MDOUKAL,05,,M'DOUKAL,أمدوكال,35.1197601,5.1772871,exact,baridimap,baridimap,1,05037,,
10625,OULED SIDI SLIMANE,05,,OULED SI SLIMANE,أولاد سي سليمان,35.6117254,5.6332112,exact,baridimap,baridimap,1,05066,,
10626,SEFIANE,05,,SEFIANE,سفيان,35.4380783,5.5583217,exact,baridimap,baridimap,1,05064,,
10627,BOULHILET,05,,BOULHILAT,بوالحيلات,35.7244583,6.6612117,exact,baridimap,baridimap,1,05062,,
10628,TALA HAMZA,06,,TALA HAMZA,تالة حمزة,36.6976018,5.0177167,exact,baridimap,baridimap,1,06066,,
1063,BARAKI MED BELARBI,16,,BARAKI,براقي,36.66764,3.0960067,exact,baridimap,baridimap,1,16139,,
10630,BORDJ MIRA,06,,TASKRIOUT,تاسكريوت,36.548114,5.2724769,exact,baridimap,baridimap,1,06015,,
10631,HAY EL MOUDJAHIDINE,07,,BISKRA,بسكرة,34.8604257,5.7175754,exact,baridimap,baridimap,1,07092,,
10632,AIN NAGA,07,,AIN NAGA,عين الناقة,34.6882433,6.0932633,exact,baridimap,baridimap,1,07039,,
10633,LIOUA,07,,LIOUA,لواء,34.6367317,5.4014,exact,baridimap,baridimap,1,07033,,
10634,S KHALED DRISSI MO,51,,SIDI KHALED,سيدي خالد,34.3952632,5.0012451,exact,baridimap,baridimap,1,51036,07036,
10635,OULED DJELLAL 1ER MAI,51,,OULED DJELLAL,أولاد جلال,34.4274313,5.0637835,exact,baridimap,baridimap,1,51070,07070,
10636,SIDI KHALED EST,51,,SIDI KHALED,سيدي خالد,34.4014782,5.0015681,exact,baridimap,baridimap,1,51097,07097,
10637,BECHAR RP CENTRE VILLE,08,,BECHAR,بشار,31.616433,-2.2145083,exact,baridimap,baridimap,1,08000,,
10644,LAHMAR,08,,LAHMAR,الأحمر,31.9324929,-2.2593746,exact,baridimap,baridimap,1,08026,,
10645,ABADLA,08,,ABADLA,عبادلة,31.0255449,-2.7097749,exact,baridimap,baridimap,1,08003,,
10646,TABELBALA,52,,TABELBALA,تبلبالة,29.4058444,-3.2579298,exact,baridimap,baridimap,1,52029,08029,
10648,BENI TAMOU,09,,BENI TAMOU,بني تامو,36.5386541,2.8257839,exact,baridimap,baridimap,1,09024,,
10649,OUED DJER,09,,OUED DJER,وادي جر,36.4278082,2.5632512,exact,baridimap,baridimap,1,09032,,
1065,BIR MOURAD RAIS,16,,BIR MOURAD RAIS,بئر مراد رايس,36.738745,3.0502033,exact,baridimap,baridimap,1,16013,,
10650,MOUZAIA BENALI,09,,MOUZAIA,موزاية,36.4623442,2.6895428,exact,baridimap,baridimap,1,09021,,
10651,BOUFARIK PM,09,,BOUFARIK,بوفاريك,36.5702761,2.9084304,exact,baridimap,baridimap,1,09007,,
