id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,code,address,address_ar
35-001,Agence Commerciale Bordj Menaiel,الوكالة التجارية برج منايل,35,,,36.743641,3.716126,exact,mobilis,mobilis,agence,12208,"N° 95 Rue Colonel Amirouche, bordj Menaiel, Boumerdes",رقم 95 شارع العقيد عميروش، برج منايل، بومرداس
35-002,Agence Commerciale Boumerdes,الوكالة التجارية بومرداس,35,,,36.755975,3.477751,exact,mobilis,mobilis,agence,12209,"Rue de l'ALN Centre ville Boumerdès (ex madaur), Boumerdes.",شارع الجيش الشعبي الوطني، وسط المدينة، بومرداس
36-001,Agence Commerciale El Kala,الوكالة التجارية القالة,36,,,36.89476819118133,8.441047538692837,exact,mobilis,mobilis,agence,12222,"Route Annaba, EL KALA, El Taref","طريق عنابة , القالة, الطارف"
36-002,Agence Commerciale El Taref,الوكالة التجارية الطارف.,36,,,36.76753185570112,8.314385263173653,exact,mobilis,mobilis,agence,12223,"Route National Annaba, El Taref",الطريق الوطني عنابة، الطارف
37-001,Agence Commerciale Tindouf,الوكالة التجارية تندوف,37,,,27.67186582581472,-8.14065959473574,exact,mobilis,mobilis,agence,12248,"Cite El kessabi, Tindouf",حي القصابي، تندوف.
38-001,Agence Commerciale Teheniet El Hed,الوكالة التجارية تنية الحد,38,,,35.869075378626576,2.028681444290631,exact,mobilis,mobilis,agence,12267,"N° 01 Rue De l'Indépendance, Theniet El Had, Tissemsilt","رقم 01 شارع الإستقلال. تنية الحد, تيسمسيلت"
38-002,Agence Commerciale Tissemsilt,الوكالة التجارية تيسمسيلت,38,,,35.60681035082666,1.8123317074532557,exact,mobilis,mobilis,agence,12268,"RUE MEKBRET BELAID N° 05, TISSEMSILT",شارع مكبرت بلعيد رقم 05، تيسمسيلت
39-001,Agence Commerciale Djamaa,الوكالة التجارية جامعة,39,,,33.53229070626119,5.9906583642447595,exact,mobilis,mobilis,agence,12314,"Local Commerial N° 03, A coté de l'ACTEL, Djamaa",محل تجاري رقم 03 بجانب مقر اتصالات الجزائر، جامعة
39-002,Agence Commerciale El Oued,الوكالة التجارية الوادي,39,,,33.36218829019723,6.859667536697915,exact,mobilis,mobilis,agence,12315,"Cité Mohamed Khemisti , centre ville, El Oued","شارع محمد خميستي، وسط المدينة,الوادي."
40-001,Agence Commerciale KAIS,الوكالة التجارية قايس,40,,,35.492784482668405,6.927675923055561,exact,mobilis,mobilis,agence,12280,"Rue Abbas laghrour, Kais, Khenchla","شارع عباس لغرور، قايس, خنشلة"
40-002,Agence Commerciale Khenchla,الوكالة التجارية خنشلة,40,,,35.430899022648354,7.1445918601209994,exact,mobilis,mobilis,agence,12281,"Avenue Babar, Khenchela",شارع بابار، خنشلة.
