id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,category,type_label_fr,type_label_ar,has_virtual_tour,url,slug
02-bcp-02,Casbah de la vieille ville de Ténès,Casbah de la vieille ville de Ténès,قصبة مدينة تنس القديمة,02,0202,Tenes,36.500712,1.314116,exact,source_point,patrimoine,"{""patrimoine"":""876""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/876,casbah-de-la-vieille-ville-de-tenes
02-bcp-03,Citadelle d'Ouled Abdallah – commune de Taougrite,Citadelle d'Ouled Abdallah – commune de Taougrite,قلعة اولاد عبد الله-بلدية تاوقريت,02,0217,Dahra,36.225205,0.873111,exact,source_point,patrimoine,"{""patrimoine"":""877""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/877,citadelle-d-ouled-abdallah-commune-de-taougrite
02-bcp-04,Dar El Baroud – musée de site d'El Asnam,Dar El Baroud – musée de site d'El Asnam,دار البارود -متحف الموقع الاصنام,02,0201,Chlef,36.16359,1.330891,exact,source_point,patrimoine,"{""patrimoine"":""949""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/949,dar-el-baroud-musee-de-site-d-el-asnam
02-bcp-05,Dar El Baroud – musée de site de Ténès,Dar El Baroud – musée de site de Ténès,دار البارود متحف الموقع تنس,02,0202,Tenes,36.512278,1.304754,exact,source_point,patrimoine,"{""patrimoine"":""971""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/971,dar-el-baroud-musee-de-site-de-tenes
02-bcp-06,Dar El Kadi,Dar El Kadi,دار القاضي,02,0228,Labiod Medjadja,36.258183,1.354195,exact,source_point,patrimoine,"{""patrimoine"":""964""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/964,dar-el-kadi
02-bcp-07,Grottes de Cap Ténès,Grottes de Cap Ténès,مغارات رأس تنس,02,0202,Tenes,36.550038,1.341405,exact,source_point,patrimoine,"{""patrimoine"":""963""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/963,grottes-de-cap-tenes
02-bcp-08,Mosaïque de Saint Reparatus,Mosaïque de Saint Reparatus,فسيفساء القديس سان ريبارتوس,02,0201,Chlef,36.163801,1.330827,exact,source_point,patrimoine,"{""patrimoine"":""946""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/946,mosaique-de-saint-reparatus
02-bcp-09,Mosquée du vieux Ténes,Mosquée du vieux Ténes,مسجد سيدي معيزة,02,0202,Tenes,36.501489,1.317069,exact,source_point,patrimoine,"{""patrimoine"":""935""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/fr/node/51,mosquee-du-vieux-tenes
02-bcp-10,Nécropole phénicienne,Nécropole phénicienne,المقبرة الفنيقية,02,0202,Tenes,36.507581,1.28185,exact,source_point,patrimoine,"{""patrimoine"":""970""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/970,necropole-phenicienne
02-bcp-11,Phare de Cap Ténès,Phare de Cap Ténès,منارة رأس تنس,02,0202,Tenes,36.549664,1.340547,exact,source_point,patrimoine,"{""patrimoine"":""962""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/962,phare-de-cap-tenes
