id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,operator,address,sources
160501,Agence de Bab El Oued,16,,Bab El Oued,36.788921063414854,3.0485394932807495,exact,carrier_relay,guepex,guepex,"107 Rue Colonel Lotfi, Bab El Oued, Alger","[""guepex"",""yalidine""]"
160902,Agence Bir Mourad Rais,16,,Bir Mourad Raïs,36.738515044397246,3.0539694576708545,exact,carrier_relay,guepex,easyandspeed,"14 Rue des Trois, Rue des Frères Bouadou, Bir Mourad Raïs, Alger","[""guepex"",""yalidine""]"
161201,Agence de Birkhadem,16,,Birkhadem,36.728714872725824,3.0553242452285136,exact,carrier_relay,guepex,yalidine,"Cité Les Vergers Villa N°1, Birkhadem, Alger","[""guepex"",""yalidine""]"
161401,Agence de Baraki,16,,Baraki,36.665013766367615,3.091836877210686,exact,carrier_relay,guepex,guepex,"Route de Larbâa (à Coté de la Supérette Promo+), Baraki, Alger","[""guepex"",""yalidine""]"
161503,Agence El Harrach (Beaulieu),16,,Oued Smar,36.71179225866924,3.1575205669471558,exact,carrier_relay,guepex,wecanservices,"128 Rue Boubaghla Lot: 08 GPE MTE N°229 Lot N°02 RDC, Beaulieu, Oued Smar, Alger","[""guepex"",""yalidine""]"
161601,Agence de Bachdjerrah,16,,Bachdjerrah,36.71901560003096,3.109847971163656,exact,carrier_relay,guepex,wecanservices,"Bachdjerrah 3 Derrière l’ancien APC, à Environ 80m du Métro, Bachdjerrah, Alger","[""guepex"",""yalidine""]"
161701,Agence de Hussein Dey,16,,Hussein Dey,36.73593184624371,3.117008726064961,exact,carrier_relay,guepex,yalidine,"Route Tripoli N°152, El Magharia, Alger","[""guepex"",""yalidine""]"
161801,Agence Kouba,16,,Kouba,36.72543355719765,3.0908529119026102,exact,carrier_relay,yalidine,yalidine,"Lotissement 26 Tranche 56 Local:01, Ben Omar, Kouba, Alger","[""yalidine""]"
162003,Agence d'El Hamiz,16,,Dar El Beïda,36.724635189426365,3.2386747288555875,exact,carrier_relay,guepex,easyandspeed,"Cité les Orangers Groupe (A) Villa N°431, El Hamiz (En face le Stade), El Hamiz, Alger","[""guepex"",""yalidine""]"
162102,Agence Bab Ezzouar,16,,Bab Ezzouar,36.720456069053455,3.1842058696201057,exact,carrier_relay,yalidine,yalidine,"EPLF - Bab Ezzouar, Alger","[""yalidine""]"
