id,name,status,postal_code,postal_code_old,address,commune_fr,commune_ar,wilaya_code,wilaya_fr,wilaya_ar,lat,lng
1227,BENI RACHED,1,02035,,,BENI RACHED,بني راشد,02,CHLEF,الشلف,36.2770666,1.5215053
1261,DAHRA,1,02036,,,DAHRA,الظهرة,02,CHLEF,الشلف,36.2568095,0.8519829
1782,OULED BEN ABDELKADER,1,02037,,,OULED BEN ABDELKADER,أولاد بن عبد القادر,02,CHLEF,الشلف,36.02637,1.2739997
1745,CHLEF SAHLI,1,02041,,,CHLEF,الشلف,02,CHLEF,الشلف,36.1756775,1.327854
10601,LALA AOUDA,1,02042,,,CHLEF,الشلف,02,CHLEF,الشلف,36.1454617,1.33151
1543,TADJENA,1,02043,,,TADJENA,تاجنة,02,CHLEF,الشلف,36.32266,1.136585
10602,LABIODH MEDJADJA,1,02049,,,LABIOD MEDJADJA,الأبيض مجاجة,02,CHLEF,الشلف,36.2511783,1.3927533
14745,EL HADJADJ,1,02050,,,EL HADJADJ,الحجاج,02,CHLEF,الشلف,36.0133341,1.3752245
14669,MOUSSADEK,1,02060,,,MOUSSADEK,مصدق,02,CHLEF,الشلف,36.3543354,1.0093449
15317,TALASSA,1,02065,,,TALASSA,تلعصة,02,CHLEF,الشلف,36.4244303,1.0951166
15143,BREIRA,1,02070,,,BREIRA,بريرة,02,CHLEF,الشلف,36.4492012,1.6154272
14744,MEZAOUT,1,02078,,,HARCHOUN,حرشون,02,CHLEF,الشلف,36.1431159,1.5097421
1788,BOUKADIR DOUAOUDIA (SLIMANI),1,02086,,,BOUKADIR,بوقادير,02,CHLEF,الشلف,36.0574738,1.132316
1789,CHLEF HAI ESSALAM,1,02091,,,CHLEF,الشلف,02,CHLEF,الشلف,36.1553229,1.3403584
1602,LAGHOUAT RP INDOOR,1,03000,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.814463,2.8685708
1603,LAGHOUAT RP,1,03000,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.8146093,2.8687382
1927,AFLOU,1,03001,,,AFLOU,أفلو,03,LAGHOUAT,الاغواط,34.1133183,2.096935
1758,HAI MAMOURA,1,03002,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.7995547,2.8700644
13052,HAI MAMOURA LS 1,1,03002,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.7993838,2.8702164
13053,HAI MAMOURA LS 2,1,03002,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.7994262,2.8700864
13054,HAI MAMOURA LS 3,1,03002,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.7994364,2.870062
1923,KSAR EL HIRANE,1,03003,,,KSAR EL HIRANE,قصر الحيران,03,LAGHOUAT,الاغواط,33.7909422,3.1450225
2295,HASSI RMEL,1,03004,,,HASSI R'MEL,حاسي الرمل,03,LAGHOUAT,الاغواط,32.9323996,3.2718749
10570,BRIDA,1,03005,,,BRIDA,بريدة,03,LAGHOUAT,الاغواط,33.9059969,1.7839073
1929,EL MAKAM,1,03006,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.7947767,2.8537871
1926,TADJMOUT,1,03007,,,TADJEMOUT,تاجموت,03,LAGHOUAT,الاغواط,33.8799017,2.5231533
15012,BELLIL,1,03008,,,HASSI R'MEL,حاسي الرمل,03,LAGHOUAT,الاغواط,33.2673051,3.194297
10573,HASSI RMEL 1ER NOV,1,03009,,,HASSI R'MEL,حاسي الرمل,03,LAGHOUAT,الاغواط,32.9546571,3.2775979
10574,EL KHENEG,1,03010,,,KHENEG,الخنق,03,LAGHOUAT,الاغواط,33.7439337,2.7891532
15013,TADJEROUNA,1,03011,,,TADJROUNA,تاجرونة,03,LAGHOUAT,الاغواط,33.5051783,2.1042087
2293,AIN EL MADHI,1,03012,,,AIN MADHI,عين ماضي,03,LAGHOUAT,الاغواط,33.7972645,2.3064154
10571,BEIDA,1,03013,,,BEIDHA,بيضاء,03,LAGHOUAT,الاغواط,34.4716939,2.1784973
15042,EL ASSAFIA,1,03014,,,EL ASSAFIA,العسافية,03,LAGHOUAT,الاغواط,33.8237425,2.986901
1677,LAGHOUAT SEDDIKIA,1,03015,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.7946601,2.8767824
1757,LAGHOUAT CITE NORD,1,03016,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.8119067,2.8569143
1675,LAGHOUAT EMIR AEK GARE,1,03018,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.8041606,2.8785058
1925,SIDI MAKHLOUF,1,03019,,,SIDI MAKHLOUF,سيدي مخلوف,03,LAGHOUAT,الاغواط,34.1315505,3.0148341
1928,AFLOU HAI EL GAADA,1,03020,,,AFLOU,أفلو,03,LAGHOUAT,الاغواط,34.1024267,2.1046833
10566,AFLOU MED BOUDIAF,1,03021,,,AFLOU,أفلو,03,LAGHOUAT,الاغواط,34.1170267,2.1098417
1930,HASSE DELAA,1,03022,,,HASSI DELAA,حاسى دلاعة,03,LAGHOUAT,الاغواط,33.4170878,3.5516433
2294,EL GHICHA,1,03023,,,EL GHICHA,الغيشة,03,LAGHOUAT,الاغواط,33.9317143,2.1423382
10612,SIDI BOUZID,1,03024,,,SIDI BOUZID,سيدي بوزيد,03,LAGHOUAT,الاغواط,34.34602,2.2658417
1924,GUELTAT SIDI SAAD,1,03025,,,GUELTAT SIDI SAAD,قتلة سيدي سعيد,03,LAGHOUAT,الاغواط,34.298037,1.9449513
15029,TAOUIALA,1,03026,,,TAOUIALA,تاويالة,03,LAGHOUAT,الاغواط,33.868355,1.85711
1307,OUED MORRA,1,03027,,,OUED MORRA,واد مورة,03,LAGHOUAT,الاغواط,34.1700332,2.3280815
10569,AIN SIDI ALI,1,03028,,,AIN SIDI ALI,عين سيدي على,03,LAGHOUAT,الاغواط,34.1564287,1.546158
10575,BENACER BENCHOHRA,1,03033,,,BENACER BEN CHOHRA,بن ناصر بن شهرة,03,LAGHOUAT,الاغواط,33.7545039,2.9987946
15014,SEBGAG,1,03034,,,SEBGAG,سبقاق,03,LAGHOUAT,الاغواط,34.0282772,1.9319559
