id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,category,address,hours,code_ouverture
30-002,Ouargla - Hassi Messaoud,30,3004,Hassi Messaoud,31.689372,6.067094,exact,operator_point,djezzy,"{""djezzy"":""Z30""}",boutique,C-,"Cité des logements à côté de la banque Société Générale Hassi, Messaoud",08H00-18H30,C30B003
31-001,ORAN - Front de mer,31,3101,Oran,35.70529,-0.63518,exact,operator_point,djezzy,"{""djezzy"":""Z06""}",boutique,A+,"10, Rue de Nancy (Front de mer), Oran.",08H00 - 20H30,O31B001
31-002,ORAN - St Hubert ex : Boulanger,31,3105,Es Senia,35.67261,-0.63835,exact,operator_point,djezzy,"{""djezzy"":""Z14""}",boutique,A,"Boulevard de l'ALN, Coopérative El Bahia Lot N°06, St Hubert, Oran.",08H00 - 20H30,O31B002
31-003,ORAN AÉROPORT,31,3117,El Kerma,35.62031,-0.60615,exact,operator_point,djezzy,"{""djezzy"":""Z49""}",boutique,C-,"Aéroport d'Oran, Hall Central, Es-Senia, Oran.",08H00-20H00,O31B004
31-004,ORAN - Bir El Djir,31,3103,Bir El Djir,35.734374,-0.578318,exact,operator_point,djezzy,"{""djezzy"":""Z70""}",boutique,B,"Boulevard Fernand Ville, Bir El Djir, Oran.",08H00-18H00,O31B003
31-005,Oran - ARZEW,31,3106,Arzew,35.84937,-0.31556,exact,operator_point,djezzy,"{""djezzy"":""Z94""}",boutique,C,"06 avenue El Qods, N° 18",08H00-18H00,O31B005
31-006,Oran - Aïn Turk,31,3109,Ain Turk,35.74796,-0.77085,exact,operator_point,djezzy,"{""djezzy"":""ZA4""}",boutique,,"Boulvard des Villas (Ex Boulvard Khaled Ibn El-Walid) N°01 Lot N°02 Aïn Turk, Oran",08H00-18H00,
31-007,Oran - Plateau/Benaouda,31,3101,Oran,35.6964,-0.64041,exact,operator_point,djezzy,"{""djezzy"":""ZB2""}",boutique,,31 BOULEVARD COMMANDANT BEN ADDA BENAOUDA  – PLATEAU - ORAN,08H00-18H00,
31-008,Oran - Gdyel,31,3102,Gdyel,35.78267,-0.42305,exact,operator_point,djezzy,"{""djezzy"":""ZB4""}",boutique,,25 BLVD MOHAMED KHEMISTI – COMMUNE DE GDYEL – ORAN,08H00-18H00,
31-009,Oran - Es Senia,31,3105,Es Senia,35.64934,-0.62489,exact,operator_point,djezzy,"{""djezzy"":""ZB5""}",boutique,,31 PLACETTE DES MARTYRS – COMMUNE D’ES SENIA - ORAN,08H00-18H00,
31-010,AZ MALL Oran,31,3105,Es Senia,35.67592,-0.60069,exact,operator_point,djezzy,"{""djezzy"":""ZH20""}",boutique,,"Daya Morsli, Lots 80 et 81, Lotissement N°02, Es-Senia – Oran",10H00-22H00,
