id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,category,address,hours,code_ouverture
54-001,In Guezzam - APC,54,1104,Ain Guezzam,19.569717,5.772027,exact,operator_point,djezzy,"{""djezzy"":""ZH14""}",boutique,,Centre-Ville /APC IN Guezzam,08H00 - 18H00,
55-001,Touggourt,55,3013,Touggourt,33.10562,6.06691,exact,operator_point,djezzy,"{""djezzy"":""Z92""}",boutique,C,"Place El Houria, Lot N°746, Touggourt, Ouargla.",08H00 -18H30,C30B004
56-001,Djanet - Centre Ville,56,3302,Djanet,24.553839,9.486068,exact,operator_point,djezzy,"{""djezzy"":""ZH19""}",boutique,,"Boulevard principale cité nouvelle ville IDFRI, DJANET",08H00 - 18H00,
57-001,EL MEGHIER - EL SAADA,57,3927,El-M'ghaier,33.950244,5.925707,exact,operator_point,djezzy,"{""djezzy"":""ZH16""}",boutique,,Lot 425 Cité EL SAADA -En Face la poste principale. Wilaya El Mghaier,08H00 - 18H00,
58-001,El Menia,58,5801,El Meniaa,30.583041,2.883548,exact,operator_point,djezzy,"{""djezzy"":""ZH12""}",boutique,,Centre-Ville EL MENIAA,08H00 -18H30,
59-001,Laghouat- Aflou,59,0319,Aflou,34.11407,2.10169,exact,operator_point,djezzy,"{""djezzy"":""ZE3""}",boutique,,"Ilot 23 Boulvard Emir Abdelkader, Aflou - Laghouat",08H00 - 18H00,
60-001,Batna - Barika,60,0515,Azil Abedelkader,35.38422,5.22912,exact,operator_point,djezzy,"{""djezzy"":""Z85""}",boutique,C,"Barika-centre, Barika, Batna.",08H00-19H00,C05B003
65-001,Djelfa - Ain Oussara,65,1731,Aïn Oussera,35.44905,2.90111,exact,operator_point,djezzy,"{""djezzy"":""Z86""}",boutique,C,"Cité Houari Boumediene, N° 02, Ain Oussara, Djelfa.",08H00 - 18H00,A17B002
67-001,Médéa - Ksar Boukhari,67,2635,Ksar El Boukhari,35.88745,2.74841,exact,operator_point,djezzy,"{""djezzy"":""ZA9""}",boutique,,"Local N° 01, cité de la gare, Ksar El Boukhari, Médéa",08H00-18H00,
68-001,MSILA - Boussaâda,68,2820,Bou Saada,35.21191,4.17636,exact,operator_point,djezzy,"{""djezzy"":""Z87""}",boutique,,"Cité Nasr , Lot N° 29 , Route de Djelfa , Boussaâda. M'Sila",08H00-18H00,
