id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,type_label_fr,type_label_ar,address,operator_wilaya
03-001,ESO000724,03,0301,Laghouat,33.7896,2.86073,exact,operator_api,ooredoo,"{""ooredoo"":""1422870""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,Coop N°81 Lot N°152 cité Maamourah Bat N°11,Laghouat
03-002,EO LAGHOUAT 2 AL MAAMOURA,03,0301,Laghouat,33.8058,2.85472,exact,operator_api,ooredoo,"{""ooredoo"":""1467517""}",EO,Espace Ooredoo,فضاء أوريدو,Rue Bouamer El Maamoura – Laghouat,Laghouat
04-001,EO OUM EL BOUAGHI,04,0401,Oum El Bouaghi,35.8752,7.1191,exact,operator_api,ooredoo,"{""ooredoo"":""1422872""}",EO,Espace Ooredoo,فضاء أوريدو,OUM EL BOUAGHI,Oum Bouaghi
04-002,EO AIN BEIDA,04,0402,Ain Beida,35.7977,7.38831,exact,operator_api,ooredoo,"{""ooredoo"":""1422874""}",EO,Espace Ooredoo,فضاء أوريدو,AIN BEIDA,Oum Bouaghi
04-003,EO AIN MLILA,04,0403,Ain M'lila,36.0381,6.57056,exact,operator_api,ooredoo,"{""ooredoo"":""1422876""}",EO,Espace Ooredoo,فضاء أوريدو,AIN MLILA,Oum Bouaghi
04-004,ESO000752,04,0401,Oum El Bouaghi,35.8753,7.11917,exact,operator_api,ooredoo,"{""ooredoo"":""1422878""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,RUE BOUAZIZ SAADI COOP 63 LOT 67,Oum Bouaghi
04-005,ESO000543,04,0409,Berriche,35.7972,7.38083,exact,operator_api,ooredoo,"{""ooredoo"":""1425538""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. El Amel,Oum Bouaghi
04-006,ESO000471,04,0425,Ain Fekroun,35.9714,6.87639,exact,operator_api,ooredoo,"{""ooredoo"":""1467367""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. 30 LOGTS,Oum Bouaghi
04-007,ESO000587,04,0425,Ain Fekroun,35.9779,6.87353,exact,operator_api,ooredoo,"{""ooredoo"":""1467423""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,48 logts Social Participatif et 28 local commercial RDC BAT 02,Oum Bouaghi
04-008,ESO001009,04,0403,Ain M'lila,36.0533,6.57406,exact,operator_api,ooredoo,"{""ooredoo"":""1467827""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,a cote du CEM BELAABED MOHAMED EL DJILALI  centre urbain,Oum Bouaghi
05-001,EO BATNA BOUAKAL,05,0501,Batna,35.5379,6.17183,exact,operator_api,ooredoo,"{""ooredoo"":""1422884""}",EO,Espace Ooredoo,فضاء أوريدو,BATNA,Batna
05-002,ESO000642,05,0501,Batna,35.5565,6.17646,exact,operator_api,ooredoo,"{""ooredoo"":""1422886""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. ALI NEMR,Batna
05-003,ESO000691,05,0501,Batna,35.5516,6.17586,exact,operator_api,ooredoo,"{""ooredoo"":""1422888""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,BOUZOURANE CITE 1000 LOGTS  BAT 13,Batna
05-004,ESO000786,05,0501,Batna,35.543,6.15956,exact,operator_api,ooredoo,"{""ooredoo"":""1422890""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,126 Logts Esaada station el RASD ZONE d'habitation urbaine nouvelle N°2 Bat A N°2,Batna
05-005,ESO000621,05,0533,Oued El Ma,35.645,5.99427,exact,operator_api,ooredoo,"{""ooredoo"":""1422894""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,RUE EL CHAHID DJEZAR HAMMOU,Batna
05-006,ESO000785,05,0551,Ras El Aioun,35.6749,5.65339,exact,operator_api,ooredoo,"{""ooredoo"":""1425541""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. PRINCIPALE CENTRE VILLE,Batna
05-007,CSO AIN TOUTA,05,0545,Ain Touta,35.3775,5.89278,exact,operator_api,ooredoo,"{""ooredoo"":""1467350""}",CSO,City Shop Ooredoo,متجر أوريدو,Centre Ville,Batna
