id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type
historic-104,El Jamaa Ihaddaden,,,35,,,36.6806997,3.8142227,exact,osm,osm,"{""osm"":""1383065133""}",archaeological_site
historic-1040,La Vigie,,,34,,,36.2986346,4.5773158,exact,osm,osm,"{""osm"":""4261127134""}",ruins
historic-1041,Nadi Thoubat,,,34,,,36.2969363,4.5859393,exact,osm,osm,"{""osm"":""4261132748""}",ruins
historic-1042,Tunnel de l'armurerie,,,34,,,36.2967659,4.5858056,exact,osm,osm,"{""osm"":""4261132749""}",ruins
historic-1043,Nisanian Pentagram,,,37,,,29.2401128,-7.0376905,exact,osm,osm,"{""osm"":""7137153519""}",ruins
historic-1044,Ksar El Kahina,,,40,,,35.535855,7.1191274,exact,osm,osm,"{""osm"":""1551154609""}",ruins
historic-1045,Ruines,,,41,,,35.9735934,7.612083,exact,osm,osm,"{""osm"":""3295284787""}",ruins
historic-1046,Ruines romaines de Khemissa,,,41,,,36.1934233,7.6566039,exact,osm,osm,"{""osm"":""1540360908""}",ruins
historic-1047,Ruines romaines de Madaurus,,,41,,,36.0771619,7.9023528,exact,osm,osm,"{""osm"":""464334607""}",ruins
historic-1048,nymphaeum,,,41,,,36.194211,7.6562627,exact,osm,osm,"{""osm"":""1321756090""}",ruins
historic-1049,Amphithéâtre Romain,Amphithéâtre Romain,,42,,,36.5931472,2.445422,exact,osm,osm,"{""osm"":""266408729""}",ruins
historic-105,Haouch el Oudjani,,,35,,,36.8589721,3.8307342,exact,osm,osm,"{""osm"":""1410759474""}",archaeological_site
historic-1050,Bab el Gherb,Bab El Gherb,باب الغرب,42,,,36.6057429,2.1862139,exact,osm,osm,"{""osm"":""4457095230""}",ruins
historic-1051,Césarée de Maurétanie,Césarée de Maurétanie,,42,,,36.6073337,2.1869681,exact,osm,osm,"{""osm"":""172032689""}",ruins
historic-1052,Nymphes Water Fountain Ruins,Nymphes Water Fountain Ruins,,42,,,36.592673,2.4428285,exact,osm,osm,"{""osm"":""266408728""}",ruins
historic-1053,Saïdia,,,42,,,36.6177463,2.639891,exact,osm,osm,"{""osm"":""3013572925""}",ruins
historic-1054,Théâtre Romain,Théâtre Romain,,42,,,36.5926511,2.4416522,exact,osm,osm,"{""osm"":""266408727""}",ruins
historic-1055,Théâtre romain,Théâtre romain,,42,,,36.6052591,2.1905535,exact,osm,osm,"{""osm"":""266410062""}",ruins
historic-1056,Villa des Fresques,Villa des Fresques,,42,,,36.5947971,2.4439004,exact,osm,osm,"{""osm"":""266533407""}",ruins
historic-1057,بوحراتي,,,42,,,36.6479059,2.7465952,exact,osm,osm,"{""osm"":""12293747501""}",ruins
historic-1058,بوحراتي العربي,,,42,,,36.64716,2.7464072,exact,osm,osm,"{""osm"":""12293746701""}",ruins
historic-1059,حمّامات رومانية,Thermes romains ouest,حمّامات رومانية,42,,,36.6074391,2.1867548,exact,osm,osm,"{""osm"":""2727459373""}",ruins
historic-106,Kobr Roumia,,,35,,,36.8144935,3.8165788,exact,osm,osm,"{""osm"":""1410759472""}",archaeological_site
historic-1060,رحال,,,42,,,36.6432913,2.7693878,exact,osm,osm,"{""osm"":""12291695701""}",ruins
historic-1061,عقيد عميروش,,,42,,,36.649532,2.6921557,exact,osm,osm,"{""osm"":""12254968401""}",ruins
historic-1062,كاري,,,42,,,36.643253,2.7694682,exact,osm,osm,"{""osm"":""12291688902""}",ruins
historic-1063,Bab el Bled,,,43,,,36.4521493,6.2736322,exact,osm,osm,"{""osm"":""4361933048""}",ruins
historic-1064,Ruines romaines de Tiddis,,,43,,,36.4623166,6.4823727,exact,osm,osm,"{""osm"":""215927252""}",ruins
historic-1065,الآثار الرومانية,Ruines romaines,الآثار الرومانية,43,,,36.4502,6.2712045,exact,osm,osm,"{""osm"":""4363220764""}",ruins
historic-1066,الخربة,Ruine,الخربة,43,,,36.1726403,6.3451472,exact,osm,osm,"{""osm"":""5247654478""}",ruins
historic-1067,الهنشير,Hanchir,الهنشير,43,,,36.1478311,6.3565551,exact,osm,osm,"{""osm"":""5251007157""}",ruins
historic-1068,Boumead school مدرسة بومعد,,,44,,,36.3648277,2.1272211,exact,osm,osm,"{""osm"":""10893515279""}",ruins
historic-1069,Boumead school مدرسة بومعد,,,44,,,36.3652079,2.1277159,exact,osm,osm,"{""osm"":""10893515280""}",ruins
historic-107,Marsa al Dejjaj مرسى الدجاج,,مرسى الدجاج,35,,,36.7995335,3.5661432,exact,osm,osm,"{""osm"":""1376564101""}",archaeological_site
historic-1070,Boumead school مدرسة بومعد,,,44,,,36.3653083,2.1276529,exact,osm,osm,"{""osm"":""10893515281""}",ruins
historic-1071,Old russian village,,,44,,,36.3742125,2.518943,exact,osm,osm,"{""osm"":""4396470290""}",ruins
historic-1072,Taouret prison سجن تاوريت,,,44,,,36.3647143,2.125538,exact,osm,osm,"{""osm"":""10893562518""}",ruins
historic-1073,ruins أثار,,,44,,,36.354626,2.2828522,exact,osm,osm,"{""osm"":""10931604055""}",ruins
historic-1074,ruins أثار,,,44,,,36.3581671,2.2754976,exact,osm,osm,"{""osm"":""10931604131""}",ruins
historic-1075,ruins أثار,,,44,,,36.3581664,2.2755901,exact,osm,osm,"{""osm"":""10931604137""}",ruins
historic-1076,ruins أثار,,,44,,,36.3564808,2.1635284,exact,osm,osm,"{""osm"":""1172596891""}",ruins
historic-1077,ruins أثار,,,44,,,36.356534,2.1641245,exact,osm,osm,"{""osm"":""1172596892""}",ruins
historic-1078,ruins أثار,,,44,,,36.3564586,2.1642126,exact,osm,osm,"{""osm"":""1172596893""}",ruins
historic-1079,ruins أثار,,,44,,,36.3563137,2.1647009,exact,osm,osm,"{""osm"":""1172596894""}",ruins
historic-108,Marsa al-Djaje,Marsa al-Djaje,مرسى الدجاج,35,,,36.8002658,3.5651722,exact,osm,osm,,archaeological_site
historic-1080,ruins أثار,,,44,,,36.3562128,2.1647827,exact,osm,osm,"{""osm"":""1172596895""}",ruins
historic-1081,ruins أثار,,,44,,,36.3502559,2.1535203,exact,osm,osm,"{""osm"":""1172596908""}",ruins
historic-1082,ruins أثار,,,44,,,36.3222959,2.2285718,exact,osm,osm,"{""osm"":""1172831107""}",ruins
historic-1083,ruins أثار,,,44,,,36.4081615,2.1577725,exact,osm,osm,"{""osm"":""1172831119""}",ruins
historic-1084,ruins أثار,,,44,,,36.3969755,2.0923101,exact,osm,osm,"{""osm"":""1172831132""}",ruins
historic-1085,ruins أثار,,,44,,,36.3967382,2.0919171,exact,osm,osm,"{""osm"":""1172831133""}",ruins
historic-1086,ruins أثار,,,44,,,36.3970849,2.0917293,exact,osm,osm,"{""osm"":""1172831134""}",ruins
historic-1087,Ruines de Siga,,,46,,,35.2654912,-1.4510168,exact,osm,osm,"{""osm"":""6805729095""}",ruins
historic-1088,Place1,,,47,,,32.3840269,4.6949945,exact,osm,osm,"{""osm"":""13696061201""}",ruins
historic-1089,Ksar kawa,Ksar kawa,قصر كاوا,48,,,35.9313192,1.2018097,exact,osm,osm,"{""osm"":""4448783494""}",ruins
historic-109,Rusuccuru,,,35,,,36.91285,3.90964,exact,osm,osm,,archaeological_site
historic-1090,mur Fort othomant ras el kalaa,,,48,,,35.5815454,0.3300112,exact,osm,osm,"{""osm"":""1511460221""}",ruins
historic-1091,قصر الأميرة,,,48,,,35.5820126,0.3302263,exact,osm,osm,"{""osm"":""1511460206""}",ruins
historic-1092,زريبة سيدي الحاج بلقاسم ⵣⵔⵉⴱⴻⵜ ⵙⵉⴷⵉ ⵍⵃⴰⵊ ⴱⴻⵍⵇⴰⵙⵎ,Zaouiet Sidi Hadj Belkacem,زريبة سيدي الحاج بلقاسم,49,,,29.2371697,0.2012349,exact,osm,osm,"{""osm"":""7024740382""}",ruins
